sample_name,13:28607900-28608500,2:25456900-25457400,5:170837300-170837800,total_mapped_reads,total_reads_in_bam,total_reads_in_fastq,unmapped_reads
LEUK5-P1-A8-wellin384plt-79_S56_L001,0,3667,0,3667,6543,6660,2876
LEUK5-P5-A12-wellin384plt-172_S270_L001,13,86,1,100,1924,1930,1824
LEUK5-P1-B12-wellin384plt-127_S160_L001,12,18,0,30,1806,1814,1776
LEUK5-P4-H8-wellin384plt-4_S226_L001,1,1546,0,1547,3661,3728,2114
LEUK5-P4-D2-wellin384plt-297_S109_L001,0,23,0,23,2715,2724,2692
LEUK5-P5-G2-wellin384plt-78_S247_L001,0,1461,0,1461,2577,2652,1116
D0plt-F12-HSC-1-wellin384plt-362_S317_L001,0,15,0,15,2029,2034,2014
D0plt-G6-HSC-1-wellin384plt-268_S294_L001,0,369,8,377,2409,2416,2032
LEUK5-P5-F8-wellin384plt-142_S263_L001,2,0,0,2,14,14,12
LEUK5-P4-C7-wellin384plt-361_S125_L001,732,458,20,1210,2272,2300,1062
LEUK5-P4-B7-wellin384plt-359_S124_L001,0,2,0,2,10,10,8
LEUK5-P2-F4-wellin384plt-183_S172_L001,14,215,13,242,1358,1368,1116
LEUK5-P5-C5-wellin384plt-106_S253_L001,0,27,0,27,1759,1768,1732
LEUK5-P4-E12-wellin384plt-54_S331_L001,0,30,0,30,52,58,22
LEUK5-P2-E6-wellin384plt-207_S88_L001,5311,74,128,5513,5751,5864,238
D0plt-G7-HSC-1-wellin384plt-284_S390_L001,0,983,1,984,4116,4164,3132
LEUK5-P2-G1-wellin384plt-149_S163_L001,367,541,118,1026,2198,2246,1172
LEUK5-P1-H8-wellin384plt-89_S149_L001,0,5,0,5,15,16,10
D0plt-E1-GMP-1-wellin384plt-184_S364_L001,0,2,0,2,514,516,512
LEUK5-P5-C7-wellin384plt-126_S351_L001,1,5,0,6,1820,1824,1814
LEUK5-P4-C11-wellin384plt-36_S234_L001,0,15,0,15,45,48,30
LEUK5-P4-F12-wellin384plt-56_S332_L001,14,8393,0,8407,8887,9226,480
D0plt-B9-HSC-1-wellin384plt-306_S393_L001,0,0,0,0,6,6,6
LEUK5-P2-C4-wellin384plt-179_S170_L001,39,47,4,90,1528,1534,1438
D0plt-D6-HSC-1-wellin384plt-262_S291_L001,0,15,0,15,41,40,26
LEUK5-P2-B2-wellin384plt-153_S165_L001,82,644,38,764,2586,2620,1822
D0plt-H3-GMP-1-wellin384plt-222_S375_L001,0,55,0,55,2133,2138,2078
LEUK5-P2-H11-wellin384plt-269_S103_L001,7,111,0,118,3260,3272,3142
LEUK5-P4-E7-wellin384plt-365_S127_L001,97,2042,4,2143,2359,2420,216
D0plt-C8-HSC-1-wellin384plt-292_S298_L001,0,33,0,33,1583,1592,1550
LEUK5-P1-G2-wellin384plt-21_S131_L001,26,38,0,64,1908,1922,1844
LEUK5-P5-E10-wellin384plt-158_S359_L001,0,2370,0,2370,5258,5374,2888
LEUK5-P2-H12-wellin384plt-277_S195_L001,17,78,0,95,1921,1928,1826
D0plt-A9-HSC-1-wellin384plt-304_S304_L001,0,13,0,13,1323,1326,1310
LEUK5-P4-C1-wellin384plt-281_S197_L001,0,6,0,6,20,20,14
LEUK5-P4-H6-wellin384plt-355_S122_L001,0,4,0,4,10,10,6
LEUK5-P1-H2-wellin384plt-23_S132_L001,0,26,0,26,60,66,34
LEUK5-P1-G7-wellin384plt-77_S55_L001,607,2134,94,2835,5147,5236,2312
D0plt-C3-GMP-1-wellin384plt-212_S370_L001,0,13,0,13,1737,1742,1724
LEUK5-P1-F12-wellin384plt-135_S68_L001,6,569,0,575,655,672,80
D0plt-E6-HSC-1-wellin384plt-264_S292_L001,0,12,0,12,34,34,22
D0plt-F3-GMP-1-wellin384plt-218_S373_L001,0,1354,0,1354,4124,4186,2770
LEUK5-P4-E2-wellin384plt-299_S110_L001,0,1701,1,1702,4384,4450,2682
LEUK5-P2-H1-wellin384plt-151_S164_L001,139,234,5,378,1720,1738,1342
LEUK5-P4-D12-wellin384plt-52_S330_L001,0,370,0,370,442,456,72
LEUK5-P1-A3-wellin384plt-25_S133_L001,0,1412,0,1412,3116,3152,1704
LEUK5-P4-E10-wellin384plt-28_S326_L001,2,2410,0,2412,5042,5102,2630
D0plt-D7-HSC-1-wellin384plt-278_S387_L001,0,62,0,62,76,82,14
LEUK5-P2-H10-wellin384plt-259_S98_L001,210,419,33,662,2860,2894,2198
LEUK5-P2-F3-wellin384plt-169_S77_L001,2,75,2,79,3733,3748,3654
LEUK5-P2-G8-wellin384plt-231_S92_L001,2,22,0,24,3242,3244,3218
LEUK5-P5-B2-wellin384plt-68_S242_L001,0,9,0,9,45,48,36
LEUK5-P2-G9-wellin384plt-245_S187_L001,4,48,0,52,2052,2060,2000
D0plt-E8-HSC-1-wellin384plt-296_S300_L001,0,37,0,37,73,78,36
D0plt-C9-HSC-1-wellin384plt-308_S394_L001,4,3,0,7,33,34,26
D0plt-C2-GMP-1-wellin384plt-196_S274_L001,0,9,0,9,295,296,286
D0plt-C1-GMP-1-wellin384plt-180_S362_L001,0,4033,0,4033,6373,6502,2340
LEUK5-P4-D6-wellin384plt-347_S214_L001,0,1714,0,1714,4042,4138,2328
LEUK5-P1-B2-wellin384plt-13_S39_L001,1139,4003,71,5213,7497,7678,2284
LEUK5-P2-H8-wellin384plt-233_S93_L001,46,131,2,179,2381,2394,2202
LEUK5-P4-B8-wellin384plt-375_S220_L001,2,3829,0,3831,6753,6924,2922
D0plt-F9-HSC-1-wellin384plt-314_S397_L001,0,14,0,14,1278,1286,1264
LEUK5-P5-F9-wellin384plt-150_S355_L001,0,10,0,10,490,492,480
LEUK5-P2-H6-wellin384plt-211_S178_L001,2442,1741,329,4512,5854,6026,1342
LEUK5-P4-G1-wellin384plt-289_S105_L001,2,3326,0,3328,6112,6242,2784
LEUK5-P5-D9-wellin384plt-148_S354_L001,0,0,0,0,22,22,22
LEUK5-P5-D10-wellin384plt-156_S358_L001,0,4,0,4,26,26,22
LEUK5-P4-D8-wellin384plt-379_S222_L001,0,2062,4,2066,4732,4802,2666
D0plt-C7-HSC-1-wellin384plt-276_S386_L001,0,1656,0,1656,1858,1932,202
LEUK5-P4-C3-wellin384plt-309_S203_L001,0,28,0,28,88,90,60
LEUK5-P2-G3-wellin384plt-171_S78_L001,12,18,0,30,2410,2414,2380
LEUK5-P4-A7-wellin384plt-357_S123_L001,1,2856,0,2857,5377,5480,2520
D0plt-C5-HSC-1-wellin384plt-244_S378_L001,0,13,0,13,1799,1806,1786
D0plt-F2-GMP-1-wellin384plt-202_S277_L001,0,0,0,0,12,12,12
LEUK5-P4-F5-wellin384plt-337_S209_L001,0,5,0,5,1143,1146,1138
LEUK5-P4-G5-wellin384plt-339_S210_L001,0,1437,0,1437,3565,3648,2128
D0plt-E2-GMP-1-wellin384plt-200_S276_L001,4,12601,0,12605,14809,15370,2204
LEUK5-P2-C3-wellin384plt-163_S74_L001,3606,2471,867,6944,8676,8942,1732
D0plt-D10-HSC-1-wellin384plt-326_S307_L001,0,3,0,3,9,10,6
LEUK5-P1-C9-wellin384plt-95_S152_L001,3607,950,30,4587,4779,4870,192
LEUK5-P5-D8-wellin384plt-138_S261_L001,0,1,0,1,9,10,8
LEUK5-P4-F2-wellin384plt-301_S111_L001,0,224,0,224,3280,3304,3056
LEUK5-P1-G12-wellin384plt-137_S69_L001,14,499,5,518,3822,3846,3304
LEUK5-P1-G6-wellin384plt-69_S51_L001,539,1520,22,2081,4811,4926,2730
LEUK5-P2-H3-wellin384plt-173_S79_L001,75,881,20,976,3540,3596,2564
LEUK5-P4-C2-wellin384plt-295_S108_L001,0,4,0,4,14,14,10
LEUK5-P2-B7-wellin384plt-213_S179_L001,84,34,1,119,1093,1100,974
LEUK5-P1-C12-wellin384plt-129_S65_L001,2880,1418,1576,5874,8074,8310,2200
LEUK5-P1-G8-wellin384plt-87_S148_L001,2,71,0,73,2555,2566,2482
LEUK5-P5-D12-wellin384plt-174_S271_L001,165,363,4,532,2810,2826,2278
LEUK5-P5-A7-wellin384plt-124_S350_L001,0,5255,0,5255,7861,8082,2606
