Sort_id,All Events FSC-A Median,All Events FSC-W Median,All Events SSC-A Median,All Events CD33 640 670/30-A Median,All Events CD45RA 640 730/45-A Median,All Events CD34 640 780/60-A Median,All Events CD90 561 582/15-A Median,All Events CD49F 561 670/14-A Median,All Events CD38 561 780/60-A Median,All Events Lin 488 530/30-A Median,All Events CD7/10 V405 450/50-A Median,All Events L/D V405 525/50-A Median,All Events CD45 V405 780/60-A Median,All Events Time Median,Cell_seeded
3_B11,126016,90599,57038,230,42,2562,91,821,-44,550,7309,187,1739,23969,HSC
3_B12,94867,82925,49748,63,138,2718,148,1297,87,320,22041,343,1820,23775,HSC
3_C1,126146,89085,62105,-54,115,2235,-79,3104,-83,447,25525,286,2133,26132,HSC
3_C2,112971,84806,53605,343,7,2253,220,1289,80,244,9047,168,1230,26323,HSC
3_C3,121651,88245,72426,112,53,1849,331,2742,-32,586,8600,232,1318,26534,HSC
3_C4,119652,90759,60749,43,25,1390,-5,976,17,1093,705,147,944,26776,HSC
3_C5,108646,89061,85325,-6,19,2456,57,4033,-18,185,21081,97,2204,26973,HSC
3_C6,103873,82701,34677,44,23,1606,1402,882,-16,282,16887,180,1560,27164,HSC
3_C7,109654,87095,45091,72,26,1369,143,523,211,35,7534,217,1716,27358,HSC
3_C8,105819,85445,58924,151,102,2399,-71,1162,-124,583,16153,190,1363,27553,HSC
3_C9,123210,90854,56070,73,114,3030,36,1877,-198,483,12754,151,1576,27745,HSC
3_C10,122006,93878,61411,55,72,2053,133,900,24,188,21001,412,2010,27946,HSC
3_C11,123293,89646,47030,144,-2,2011,92,2720,3,330,18867,414,2643,28138,HSC
3_C12,124047,89957,72164,57,110,2234,14,1594,-10,423,9273,187,977,28331,HSC
3_D1,104967,83864,69432,223,22,2781,243,2929,-95,412,11608,101,1632,30700,HSC
3_D2,104952,82379,44868,-45,-172,2661,-1,995,51,89,9083,71,774,30505,HSC
3_D3,106039,85949,53527,-51,-5,1987,166,3852,42,373,4526,290,871,30315,HSC
3_D4,97049,83867,56983,167,56,2762,12,1452,-165,694,13098,181,1290,30119,HSC
3_D5,116350,85788,55740,340,63,2578,331,1202,85,414,7430,154,1108,29929,HSC
3_D6,122051,90820,117309,-153,56,4805,582,5052,-136,649,7171,272,1018,29730,HSC
3_D7,96925,94417,83815,48,75,3043,181,1355,61,417,12039,234,1778,29516,HSC
3_D8,92532,82129,54961,-37,21,1140,35,2054,-79,107,19828,245,1932,29322,HSC
3_D9,112635,86497,68748,37,30,1446,86,1048,34,439,5063,180,998,29126,HSC
3_D10,111814,85824,51172,4,36,1306,-4,1460,15,420,8978,181,1170,28938,HSC
3_D11,67156,82890,70683,214,52,2510,143,186,111,659,2926,281,2085,28739,HSC
3_D12,127275,88193,62711,-49,122,1986,105,1973,45,499,9768,139,1545,28526,HSC
3_E1,124482,89947,57444,106,31,2859,7,717,-28,244,29259,340,2536,30914,HSC
3_E2,127880,93672,94678,145,102,4463,797,2204,-72,527,28811,456,2955,31111,HSC
3_E3,124491,89446,72925,58,53,2958,316,782,-108,509,6477,198,1726,31303,HSC
3_E4,129457,94411,59395,58,36,1799,534,846,7,423,8107,175,1288,31508,HSC
3_E5,118116,88245,40961,71,40,2195,71,709,120,274,43246,241,4547,31701,HSC
3_E6,99894,83812,60939,11,34,2357,121,1295,-40,293,1536,199,699,31893,HSC
3_E7,73478,81501,91200,-6,23,3505,24,2059,-120,464,4119,175,1287,32084,HSC
3_E8,121110,86965,68316,143,98,2087,116,1282,95,209,5318,204,793,32279,HSC
3_E9,108611,87618,65486,57,54,1741,53,762,-115,314,15339,292,1430,32472,HSC
3_E10,131419,93307,46332,52,119,1393,299,1090,182,396,17141,280,578,32672,HSC
3_E11,102287,83433,58565,32,7,1951,132,1291,-13,226,7472,209,1128,32864,HSC
3_E12,127394,91244,63246,85,84,2267,268,1617,5,1013,15890,204,2172,33057,HSC
3_F1,76035,82038,96048,-41,61,2796,106,1956,-42,171,5845,234,1374,35409,HSC
3_F2,129582,88330,55025,66,17,2335,517,671,-5,491,5623,119,1110,35214,HSC
3_F3,81945,89788,118033,377,119,4393,43,1173,5,648,8893,277,3141,35022,HSC
3_F4,118295,91715,68398,194,34,2175,-45,431,-121,313,29939,278,1504,34826,HSC
3_F5,111455,85888,56205,76,88,1780,16,4767,-111,417,6156,206,663,34630,HSC
3_F6,98332,85144,64193,-6,11,1220,-42,1113,-66,157,15457,75,721,34435,HSC
3_F7,81713,84194,108527,186,79,2069,4,1210,-105,695,5248,222,1141,34240,HSC
3_F8,126365,89283,62447,190,24,1757,30,767,-36,212,5730,115,1006,34046,HSC
3_F9,110536,84351,86332,225,102,4540,1173,1539,-95,365,34370,178,2270,33856,HSC
3_F10,111874,87334,71809,239,79,3944,66,3249,-116,602,14614,333,1360,33664,HSC
3_F11,124153,86882,68575,197,113,3908,320,970,-227,156,9293,118,2159,33468,HSC
3_F12,103926,87643,50911,99,44,1180,271,499,27,361,3213,122,1143,33252,HSC
3_G1,109781,86900,49608,200,15,1515,264,713,42,227,3058,202,750,35609,HSC
