Plate_well,Single_cells,CD45,Ery,NK,Mono,Neut,CD66bneg,CD66bpos,CD14_MFI,CD15_MFI,CD66b_MFI,GlyA_MFI,Gran_freq,Mono_freq,GlyA_freq,CD66bpos_freq,CD66bneg_freq
2_C4,11593,11252,6,2,2030,6458,516,5823,8171,37079,76831,152,57.7,18.1,11.7,90.2,7.99
2_C5,1394,1295,0,0,1,1101,1073,16,24566,175797,14788,112,87.2,0.079,1.19,1.45,97.5
2_C6,14988,14910,1,1,512,13152,2704,9764,9906,61831,41631,182,88.8,3.46,10.1,74.2,20.6
2_C7,5817,3017,5,0,488,388,316,39,3413,11773,9095,596,13.7,17.2,35.6,10.1,81.4
2_C8,6111,6006,9,2,2115,1826,428,1372,10341,19392,53045,68.1,31.6,36.6,4.73,75.1,23.4
2_C9,24830,24682,12,3,6643,1177,1142,2,3469,6294,4185,238,4.81,27.2,11.1,0.17,97
2_C10,11383,11326,0,2,535,9794,1169,8118,12240,76083,44333,91.2,87.4,4.78,2.15,82.9,11.9
2_C11,2634,2593,0,0,6,2400,159,2170,16652,114559,61231,68.1,94.7,0.24,2.21,90.4,6.62
2_C12,12121,11908,4,0,3226,6282,6268,9,9034,25641,5213,299,53.2,27.3,17.5,0.14,99.8
2_D1,16607,16383,1,0,141,15772,8782,5456,12073,83289,18158,122,96.7,0.86,4.4,34.6,55.7
2_D2,1574,1514,0,0,25,1093,1090,2,20911,133092,11963,666,73.1,1.67,36.5,0.18,99.7
2_D3,39877,38248,9,2,17018,9796,9703,42,10133,10506,4662,169,25.8,44.9,6.4,0.43,99.1
2_D4,4033,3904,3,0,1723,1054,428,550,18073,22342,29873,148,27.6,45.1,11.1,52.2,40.6
2_D5,42589,41122,19,5,4084,15916,2470,12647,3379,9156,45419,226,38.9,9.98,19,79.5,15.5
2_D6,19715,19484,12,5,5109,1568,1380,152,2755,6404,4281,228,8.15,26.5,8.97,9.69,88
2_D7,16952,16895,1,2,2986,733,713,10,2529,5486,3847,202,4.36,17.8,2.57,1.36,97.3
2_D8,16184,10900,14,1,11,9936,9018,494,11273,77966,9620,-255,92.7,0.1,8.17,4.97,90.8
2_D9,3258,3196,0,0,6,2986,2983,1,17654,120034,10530,155,94.6,0.19,9.72,0.033,99.9
2_D10,720,466,0,0,17,167,74,69,3926,17205,15348,-392,39.1,3.98,3.72,41.3,44.3
2_D11,9253,2976,3,0,123,131,119,4,1213,4944,9156,376,4.7,4.41,16.9,3.05,90.8
2_D12,20778,20293,13,3,3312,3448,303,3056,2644,6028,56505,123,18.2,17.5,3.9,88.6,8.79
2_E1,12454,12411,1,9,3415,1283,1280,1,5359,7765,3597,148,10.4,27.8,13.4,0.078,99.8
2_E2,10232,10134,1,1,1771,6699,671,5879,7992,38075,75712,118,66.4,17.6,7.76,87.8,10
2_E3,6292,6281,2,0,1091,198,177,12,2826,6972,5964,241,3.18,17.5,3.76,6.06,89.4
2_E4,4511,4503,0,0,468,1926,240,1526,7414,31114,34830,356,45.4,11,40,79.2,12.5
2_E5,4613,4581,8,1,2515,1220,324,830,16730,22502,41833,436,27.1,56,43.2,68,26.6
2_E6,6892,987,47,0,0,3,1,0,849,3126,286,935,0.32,0,57.3,0,33.3
2_E7,5428,5367,0,0,1365,1802,1677,78,14021,15384,12240,86.1,34.4,26.1,4.12,4.33,93.1
2_E8,1214,1054,0,1,97,97,90,2,2314,6432,8153,-493,13.4,13.4,8.11,2.06,92.8
2_E9,49227,48354,36,2,9653,26767,21765,3892,5900,22289,5451,188,55.6,20,7.59,14.5,81.3
2_E10,6080,6038,0,0,372,5203,1077,3631,14054,92766,33037,107,87.4,6.25,4.61,69.8,20.7
2_E11,32993,31966,72,7,7963,4465,3762,606,3126,5604,4290,199,14.3,25.6,14.5,13.6,84.3
2_E12,53490,52424,36,2,13277,3892,3866,10,2957,3312,3934,192,7.48,25.5,9.93,0.26,99.3
2_F1,40057,39035,40,3,11193,4885,3919,811,3942,5268,5158,204,12.6,28.9,11.6,16.6,80.2
2_F2,4574,4536,2,5,916,2077,1496,458,9729,31414,12553,205,46.9,20.7,16.1,22.1,72
2_F3,868,213,0,0,8,9,4,5,2068,7111,24161,695,5.59,4.97,43,55.6,44.4
2_F4,14937,14711,8,5,7038,2578,1828,614,11146,13174,9095,139,17.6,48.1,3.07,23.8,70.9
2_F5,57364,53923,3,2,5117,26668,24101,1859,4462,17408,4334,178,49.5,9.51,5.19,6.97,90.4
2_F6,3844,3025,0,0,11,2794,499,2138,12046,81675,45861,29.5,93.2,0.37,1.88,76.5,17.9
2_F7,14028,13034,7,1,2131,7241,577,6415,6226,25519,50776,47.5,57.1,16.8,2.12,88.6,7.97
2_F8,3045,107,0,0,4,2,1,1,2257,6432,2975,294,5.71,11.4,14.2,50,50
2_F9,11284,9595,3,1,761,7556,324,7092,11020,63977,65716,28.2,81.6,8.22,0.42,93.9,4.29
2_F10,53152,32008,102,1,4787,5833,5368,347,2755,8562,5556,39.8,18.5,15.2,2.04,5.95,92
2_F11,5435,3996,0,0,184,2892,511,2233,13114,77586,46985,-19.3,73.4,4.67,0.22,77.2,17.7
2_F12,20094,2924,4,0,303,1580,184,1331,9620,42753,57756,171,55.9,10.7,4.27,84.2,11.6
2_G1,78,12,0,0,2,4,1,3,6067,26637,50286,171,36.4,18.2,2.86,75,25
2_G2,803,240,0,0,2,160,10,142,19392,125156,58606,3.85,75.8,0.95,0.95,88.8,6.25
2_G3,2499,796,0,0,3,704,96,563,10821,70019,46645,-3.85,89.7,0.38,0.15,80,13.6
2_G4,43338,36255,241,0,10743,6321,6306,7,7512,7992,4672,138,17.5,29.8,26,0.11,99.8
2_G5,2205,2107,1,0,918,286,177,81,12268,12669,15893,39.8,14.4,46.3,1.08,28.3,61.9
2_G6,5499,4593,7,0,259,3799,3797,1,14822,93222,8854,343,83.1,5.66,18.2,0.026,99.9
2_G7,18483,14439,2,1,3718,8085,2373,5340,6146,25038,30743,35.9,56.7,26.1,0.21,66,29.4
2_G8,68882,38002,189,4,12150,4745,4085,500,3926,8467,5191,-60.4,12.6,32.2,6.35,10.5,86.1
2_G9,2253,70,1,0,11,4,2,1,2017,6559,14416,248,7.55,20.8,7.07,25,50
2_G10,39153,28439,573,0,16979,864,861,0,11325,7869,4193,945,3.08,60.5,54.1,0,99.7
2_G11,7379,2102,62,0,461,832,832,0,11613,39193,6041,499,40.6,22.5,34.1,0,100
2_G12,104,51,1,0,3,33,33,0,13481,80288,9534,879,67.3,6.12,53.5,0,100
2_H1,6713,5704,10,0,2532,846,845,0,16652,19622,8135,597,16.6,49.7,40.4,0,99.9
